kit,core,voltage_V,rate_bins_per_s,energy_dyn_per_bin_nJ,leakage_total_uW,leakage_logic_uW,p_avg_uW,p_avg_logic_leak_uW,energy_window
IHP SG13G2,g32p50,1.2,1,1.5778,35.556,2.2383,35.557,2.2399,sdf_w5000
IHP SG13G2,g32p50,1.2,2,1.5778,35.556,2.2383,35.559,2.2414,sdf_w5000
IHP SG13G2,g32p50,1.2,5,1.5778,35.556,2.2383,35.564,2.2462,sdf_w5000
IHP SG13G2,g32p50,1.2,10,1.5778,35.556,2.2383,35.572,2.2541,sdf_w5000
IHP SG13G2,g32p50,1.2,20,1.5778,35.556,2.2383,35.587,2.2698,sdf_w5000
IHP SG13G2,g32p50,1.2,50,1.5778,35.556,2.2383,35.635,2.3172,sdf_w5000
IHP SG13G2,g32p50,1.2,100,1.5778,35.556,2.2383,35.714,2.3961,sdf_w5000
IHP SG13G2,g32p50,1.2,250,1.5778,35.556,2.2383,35.95,2.6327,sdf_w5000
IHP SG13G2,g32p50,1.2,500,1.5778,35.556,2.2383,36.345,3.0272,sdf_w5000
IHP SG13G2,g32p50,1.2,1000,1.5778,35.556,2.2383,37.134,3.8161,sdf_w5000
NanGate45 / FreePDK45,sp,1.1,1,0.4055,764.24,764.28,764.24,764.28,sdf_w5000
NanGate45 / FreePDK45,sp,1.1,2,0.4055,764.24,764.28,764.24,764.28,sdf_w5000
NanGate45 / FreePDK45,sp,1.1,5,0.4055,764.24,764.28,764.24,764.28,sdf_w5000
NanGate45 / FreePDK45,sp,1.1,10,0.4055,764.24,764.28,764.24,764.28,sdf_w5000
NanGate45 / FreePDK45,sp,1.1,20,0.4055,764.24,764.28,764.25,764.29,sdf_w5000
NanGate45 / FreePDK45,sp,1.1,50,0.4055,764.24,764.28,764.26,764.3,sdf_w5000
NanGate45 / FreePDK45,sp,1.1,100,0.4055,764.24,764.28,764.28,764.32,sdf_w5000
NanGate45 / FreePDK45,sp,1.1,250,0.4055,764.24,764.28,764.34,764.38,sdf_w5000
NanGate45 / FreePDK45,sp,1.1,500,0.4055,764.24,764.28,764.44,764.48,sdf_w5000
NanGate45 / FreePDK45,sp,1.1,1000,0.4055,764.24,764.28,764.64,764.69,sdf_w5000
NanGate45 / FreePDK45,m12,1.1,1,0.7145,916.43,916.48,916.43,916.48,sdf_w5000
NanGate45 / FreePDK45,m12,1.1,2,0.7145,916.43,916.48,916.43,916.48,sdf_w5000
NanGate45 / FreePDK45,m12,1.1,5,0.7145,916.43,916.48,916.43,916.48,sdf_w5000
NanGate45 / FreePDK45,m12,1.1,10,0.7145,916.43,916.48,916.44,916.49,sdf_w5000
NanGate45 / FreePDK45,m12,1.1,20,0.7145,916.43,916.48,916.44,916.49,sdf_w5000
NanGate45 / FreePDK45,m12,1.1,50,0.7145,916.43,916.48,916.47,916.52,sdf_w5000
NanGate45 / FreePDK45,m12,1.1,100,0.7145,916.43,916.48,916.5,916.55,sdf_w5000
NanGate45 / FreePDK45,m12,1.1,250,0.7145,916.43,916.48,916.61,916.66,sdf_w5000
NanGate45 / FreePDK45,m12,1.1,500,0.7145,916.43,916.48,916.79,916.84,sdf_w5000
NanGate45 / FreePDK45,m12,1.1,1000,0.7145,916.43,916.48,917.14,917.19,sdf_w5000
NanGate45 / FreePDK45,min32,1.1,1,0.54271,665.37,665.41,665.37,665.42,sdf_w5000
NanGate45 / FreePDK45,min32,1.1,2,0.54271,665.37,665.41,665.37,665.42,sdf_w5000
NanGate45 / FreePDK45,min32,1.1,5,0.54271,665.37,665.41,665.37,665.42,sdf_w5000
NanGate45 / FreePDK45,min32,1.1,10,0.54271,665.37,665.41,665.38,665.42,sdf_w5000
NanGate45 / FreePDK45,min32,1.1,20,0.54271,665.37,665.41,665.38,665.43,sdf_w5000
NanGate45 / FreePDK45,min32,1.1,50,0.54271,665.37,665.41,665.4,665.44,sdf_w5000
NanGate45 / FreePDK45,min32,1.1,100,0.54271,665.37,665.41,665.43,665.47,sdf_w5000
NanGate45 / FreePDK45,min32,1.1,250,0.54271,665.37,665.41,665.51,665.55,sdf_w5000
NanGate45 / FreePDK45,min32,1.1,500,0.54271,665.37,665.41,665.64,665.69,sdf_w5000
NanGate45 / FreePDK45,min32,1.1,1000,0.54271,665.37,665.41,665.91,665.96,sdf_w5000
NanGate45 / FreePDK45,min16,1.1,1,0.27886,352.04,352.05,352.04,352.05,sdf_w5000
NanGate45 / FreePDK45,min16,1.1,2,0.27886,352.04,352.05,352.05,352.05,sdf_w5000
NanGate45 / FreePDK45,min16,1.1,5,0.27886,352.04,352.05,352.05,352.05,sdf_w5000
NanGate45 / FreePDK45,min16,1.1,10,0.27886,352.04,352.05,352.05,352.05,sdf_w5000
NanGate45 / FreePDK45,min16,1.1,20,0.27886,352.04,352.05,352.05,352.05,sdf_w5000
NanGate45 / FreePDK45,min16,1.1,50,0.27886,352.04,352.05,352.06,352.06,sdf_w5000
NanGate45 / FreePDK45,min16,1.1,100,0.27886,352.04,352.05,352.07,352.08,sdf_w5000
NanGate45 / FreePDK45,min16,1.1,250,0.27886,352.04,352.05,352.11,352.12,sdf_w5000
NanGate45 / FreePDK45,min16,1.1,500,0.27886,352.04,352.05,352.18,352.19,sdf_w5000
NanGate45 / FreePDK45,min16,1.1,1000,0.27886,352.04,352.05,352.32,352.33,sdf_w5000
NanGate45 / FreePDK45,g32p50,1.1,1,0.27684,457.12,457.14,457.12,457.14,sdf_w5000
NanGate45 / FreePDK45,g32p50,1.1,2,0.27684,457.12,457.14,457.13,457.14,sdf_w5000
NanGate45 / FreePDK45,g32p50,1.1,5,0.27684,457.12,457.14,457.13,457.14,sdf_w5000
NanGate45 / FreePDK45,g32p50,1.1,10,0.27684,457.12,457.14,457.13,457.14,sdf_w5000
NanGate45 / FreePDK45,g32p50,1.1,20,0.27684,457.12,457.14,457.13,457.14,sdf_w5000
NanGate45 / FreePDK45,g32p50,1.1,50,0.27684,457.12,457.14,457.14,457.15,sdf_w5000
NanGate45 / FreePDK45,g32p50,1.1,100,0.27684,457.12,457.14,457.15,457.16,sdf_w5000
NanGate45 / FreePDK45,g32p50,1.1,250,0.27684,457.12,457.14,457.19,457.21,sdf_w5000
NanGate45 / FreePDK45,g32p50,1.1,500,0.27684,457.12,457.14,457.26,457.27,sdf_w5000
NanGate45 / FreePDK45,g32p50,1.1,1000,0.27684,457.12,457.14,457.4,457.41,sdf_w5000
ASAP7 RVT,sp,0.7,1,0.082215,3.3014,3.3013,3.3015,3.3014,sdf_w5000
ASAP7 RVT,sp,0.7,2,0.082215,3.3014,3.3013,3.3015,3.3015,sdf_w5000
ASAP7 RVT,sp,0.7,5,0.082215,3.3014,3.3013,3.3018,3.3017,sdf_w5000
ASAP7 RVT,sp,0.7,10,0.082215,3.3014,3.3013,3.3022,3.3022,sdf_w5000
ASAP7 RVT,sp,0.7,20,0.082215,3.3014,3.3013,3.303,3.303,sdf_w5000
ASAP7 RVT,sp,0.7,50,0.082215,3.3014,3.3013,3.3055,3.3054,sdf_w5000
ASAP7 RVT,sp,0.7,100,0.082215,3.3014,3.3013,3.3096,3.3096,sdf_w5000
ASAP7 RVT,sp,0.7,250,0.082215,3.3014,3.3013,3.3219,3.3219,sdf_w5000
ASAP7 RVT,sp,0.7,500,0.082215,3.3014,3.3013,3.3425,3.3424,sdf_w5000
ASAP7 RVT,sp,0.7,1000,0.082215,3.3014,3.3013,3.3836,3.3835,sdf_w5000
ASAP7 RVT,m12,0.7,1,0.13838,3.8058,3.8058,3.806,3.806,sdf_w5000
ASAP7 RVT,m12,0.7,2,0.13838,3.8058,3.8058,3.8061,3.8061,sdf_w5000
ASAP7 RVT,m12,0.7,5,0.13838,3.8058,3.8058,3.8065,3.8065,sdf_w5000
ASAP7 RVT,m12,0.7,10,0.13838,3.8058,3.8058,3.8072,3.8072,sdf_w5000
ASAP7 RVT,m12,0.7,20,0.13838,3.8058,3.8058,3.8086,3.8086,sdf_w5000
ASAP7 RVT,m12,0.7,50,0.13838,3.8058,3.8058,3.8128,3.8128,sdf_w5000
ASAP7 RVT,m12,0.7,100,0.13838,3.8058,3.8058,3.8197,3.8197,sdf_w5000
ASAP7 RVT,m12,0.7,250,0.13838,3.8058,3.8058,3.8404,3.8404,sdf_w5000
ASAP7 RVT,m12,0.7,500,0.13838,3.8058,3.8058,3.875,3.875,sdf_w5000
ASAP7 RVT,m12,0.7,1000,0.13838,3.8058,3.8058,3.9442,3.9442,sdf_w5000
ASAP7 RVT,min32,0.7,1,0.10952,2.8087,2.8087,2.8088,2.8088,sdf_w5000
ASAP7 RVT,min32,0.7,2,0.10952,2.8087,2.8087,2.8089,2.8089,sdf_w5000
ASAP7 RVT,min32,0.7,5,0.10952,2.8087,2.8087,2.8093,2.8092,sdf_w5000
ASAP7 RVT,min32,0.7,10,0.10952,2.8087,2.8087,2.8098,2.8097,sdf_w5000
ASAP7 RVT,min32,0.7,20,0.10952,2.8087,2.8087,2.8109,2.8108,sdf_w5000
ASAP7 RVT,min32,0.7,50,0.10952,2.8087,2.8087,2.8142,2.8141,sdf_w5000
ASAP7 RVT,min32,0.7,100,0.10952,2.8087,2.8087,2.8197,2.8196,sdf_w5000
ASAP7 RVT,min32,0.7,250,0.10952,2.8087,2.8087,2.8361,2.836,sdf_w5000
ASAP7 RVT,min32,0.7,500,0.10952,2.8087,2.8087,2.8635,2.8634,sdf_w5000
ASAP7 RVT,min32,0.7,1000,0.10952,2.8087,2.8087,2.9182,2.9182,sdf_w5000
ASAP7 RVT,min16,0.7,1,0.05715,1.5199,1.5199,1.52,1.52,sdf_w5000
ASAP7 RVT,min16,0.7,2,0.05715,1.5199,1.5199,1.52,1.52,sdf_w5000
ASAP7 RVT,min16,0.7,5,0.05715,1.5199,1.5199,1.5202,1.5202,sdf_w5000
ASAP7 RVT,min16,0.7,10,0.05715,1.5199,1.5199,1.5205,1.5205,sdf_w5000
ASAP7 RVT,min16,0.7,20,0.05715,1.5199,1.5199,1.5211,1.521,sdf_w5000
